advertiser_id,base_month,payment_month,payment_price,status_pagamento,dt
6bd81abe-1c5e-a851-ec62-2798a32ae108,2026-01-01,2026-01-01,40000000.00,Paid,2026-01-01
5a796956-f46a-ff70-db06-c3b35dc85e0c,2026-01-01,2026-02-01,32000000.00,Atrasado,2026-02-01
6bd81abe-1c5e-a851-ec62-2798a32ae108,2026-02-01,2026-02-01,39200000.00,Paid,2026-02-01
223831e7-b331-d1c7-ab56-c9d0ab351ce9,2026-02-01,2026-03-01,27000000.00,Atrasado,2026-03-01
5a796956-f46a-ff70-db06-c3b35dc85e0c,2026-03-01,2026-03-01,36900000.00,Paid,2026-03-01
fa9fa09a-5890-00e4-ee21-193ffce549cc,2026-03-01,2026-04-01,26100000.00,Atrasado,2026-04-01
223831e7-b331-d1c7-ab56-c9d0ab351ce9,2026-04-01,2026-04-01,34000000.00,Paid,2026-04-01
fa9fa09a-5890-00e4-ee21-193ffce549cc,2026-05-01,2026-05-01,35100000.00,Paid,2026-05-01
e894d55c-1ea1-efa3-5fa3-aac2babb6c2e,2026-05-01,2026-06-01,24800000.00,Atrasado,2026-06-01
292ffbdb-a932-ce4b-8568-69532d497975,2026-06-01,2026-06-01,33000000.00,Paid,2026-06-01
e894d55c-1ea1-efa3-5fa3-aac2babb6c2e,2026-07-01,2026-07-01,31700000.00,Paid,2026-07-01
8f0a18e3-67fa-2dbc-b1d5-48be60027e54,2026-07-01,2026-08-01,21000000.00,Atrasado,2026-08-01
19cb83dc-e06b-c7a4-be8d-80f6a44a70ba,2026-08-01,2026-08-01,30000000.00,Paid,2026-08-01
6abf1258-21ed-8c81-42be-ef4a17f05cca,2026-08-01,2026-09-01,18900000.00,Atrasado,2026-09-01
8f0a18e3-67fa-2dbc-b1d5-48be60027e54,2026-09-01,2026-09-01,26000000.00,Paid,2026-09-01
a9cc6ebf-2edf-ed22-21b0-439b4d9c50da,2026-09-01,2026-10-01,17500000.00,Atrasado,2026-10-01
6abf1258-21ed-8c81-42be-ef4a17f05cca,2026-10-01,2026-10-01,24700000.00,Paid,2026-10-01
a95801ca-edb2-4380-609e-324c5c983604,2026-10-01,2026-11-01,16000000.00,Atrasado,2026-11-01
87c33ce7-4258-5c6b-f599-1ef1bc74ca05,2026-11-01,2026-11-01,15600000.00,Paid,2026-11-01
a95801ca-edb2-4380-609e-324c5c983604,2026-12-01,2026-12-01,22400000.00,Parcial,2026-12-01
