advertiser_id,mes_ref,pacote,canal_conta,dono_conta,estado,municipio,classificacao,classificacao_churn,faturado_mes,faturado_sva,total_pago_sva,receita_total,pago_cb,gap_pago,flag_sem_pagamento,valor_mensal,periodicidade,channel_plano,status_recorrente,package_name,tamanho_plano,estado_conta,cidade_conta,flag_sem_plano,mes_ref_pagamento
6bd81abe-1c5e-a851-ec62-2798a32ae108,2026-01-01,Plano Multiportais 300 Exclusivo,Inside,Bianca D,SP,Sao Paulo,Flat,Nao,42100000.00,1900000.00,1800000.00,44000000.00,40000000.00,2100000.00,0,40500000.00,1,Inside,Flat,Plano Multiportais 300 Exclusivo,G,SP,Sao Paulo,0,2026-01-01
5a796956-f46a-ff70-db06-c3b35dc85e0c,2026-01-01,Plano Multiportais 150 Premium,Field,William V,RJ,Rio de Janeiro,Novo,Nao,33600000.00,1400000.00,1300000.00,35000000.00,32000000.00,1600000.00,0,32500000.00,1,Field,Novo,Plano Multiportais 150 Premium,G,RJ,Rio de Janeiro,0,2026-02-01
6bd81abe-1c5e-a851-ec62-2798a32ae108,2026-02-01,Plano Multiportais 300 Exclusivo,Inside,Bianca D,SP,Sao Paulo,Upgrade,Nao,40500000.00,1700000.00,1600000.00,42200000.00,39200000.00,1300000.00,0,39000000.00,1,Inside,Upgrade,Plano Multiportais 300 Exclusivo,G,SP,Sao Paulo,0,2026-02-01
223831e7-b331-d1c7-ab56-c9d0ab351ce9,2026-02-01,Plano Multiportais 100,Field,Ronaldo S,MG,Belo Horizonte,Flat,Nao,29200000.00,1200000.00,1100000.00,30400000.00,27000000.00,2200000.00,0,28000000.00,1,Field,Flat,Plano Multiportais 100,M,MG,Belo Horizonte,0,2026-03-01
5a796956-f46a-ff70-db06-c3b35dc85e0c,2026-03-01,Plano Multiportais 150 Premium,Field,William V,RJ,Rio de Janeiro,Flat,Nao,38700000.00,1600000.00,1500000.00,40300000.00,36900000.00,1800000.00,0,37000000.00,1,Field,Flat,Plano Multiportais 150 Premium,G,RJ,Rio de Janeiro,0,2026-03-01
fa9fa09a-5890-00e4-ee21-193ffce549cc,2026-03-01,Plano Multiportais 80 Plus,Inside,Dayane M,PR,Curitiba,Novo,Nao,27800000.00,1000000.00,950000.00,28800000.00,26100000.00,1700000.00,0,27000000.00,1,Inside,Novo,Plano Multiportais 80 Plus,M,PR,Curitiba,0,2026-04-01
223831e7-b331-d1c7-ab56-c9d0ab351ce9,2026-04-01,Plano Multiportais 100,Field,Ronaldo S,MG,Belo Horizonte,Upgrade,Nao,35400000.00,1500000.00,1400000.00,36900000.00,34000000.00,1400000.00,0,34500000.00,1,Field,Upgrade,Plano Multiportais 100,M,MG,Belo Horizonte,0,2026-04-01
292ffbdb-a932-ce4b-8568-69532d497975,2026-04-01,Plano Multiportais 60,Online,Faberson L,BA,Salvador,Downgrade,Nao,24300000.00,900000.00,400000.00,25200000.00,0.00,24300000.00,1,23800000.00,1,Online,Downgrade,Plano Multiportais 60,P,BA,Salvador,0,
fa9fa09a-5890-00e4-ee21-193ffce549cc,2026-05-01,Plano Multiportais 80 Plus,Inside,Dayane M,PR,Curitiba,Flat,Nao,36800000.00,1550000.00,1450000.00,38350000.00,35100000.00,1700000.00,0,36000000.00,1,Inside,Flat,Plano Multiportais 80 Plus,M,PR,Curitiba,0,2026-05-01
e894d55c-1ea1-efa3-5fa3-aac2babb6c2e,2026-05-01,Plano Multiportais 600,Field,Bruno S,SC,Florianopolis,Upgrade,Nao,25500000.00,950000.00,900000.00,26450000.00,24800000.00,700000.00,0,25000000.00,3,Field,Upgrade,Plano Multiportais 600,G,SC,Florianopolis,0,2026-06-01
292ffbdb-a932-ce4b-8568-69532d497975,2026-06-01,Plano Multiportais 60,Online,Faberson L,BA,Salvador,Flat,Nao,34900000.00,1500000.00,1400000.00,36400000.00,33000000.00,1900000.00,0,34000000.00,1,Online,Flat,Plano Multiportais 60,P,BA,Salvador,0,2026-06-01
19cb83dc-e06b-c7a4-be8d-80f6a44a70ba,2026-06-01,Plano Multiportais 25,ND,Michelle D,PE,Recife,Novo,Nao,23400000.00,850000.00,800000.00,24250000.00,0.00,23400000.00,1,22800000.00,1,ND,Novo,Plano Multiportais 25,P,PE,Recife,0,
e894d55c-1ea1-efa3-5fa3-aac2babb6c2e,2026-07-01,Plano Multiportais 600,Field,Bruno S,SC,Florianopolis,Flat,Nao,33400000.00,1450000.00,1350000.00,34850000.00,31700000.00,1700000.00,0,32800000.00,3,Field,Flat,Plano Multiportais 600,G,SC,Florianopolis,0,2026-07-01
8f0a18e3-67fa-2dbc-b1d5-48be60027e54,2026-07-01,Plano Multiportais 200,Inside,Antonio G,RS,Porto Alegre,Upgrade,Nao,22100000.00,780000.00,720000.00,22880000.00,21000000.00,1100000.00,0,21800000.00,1,Inside,Upgrade,Plano Multiportais 200,M,RS,Porto Alegre,0,2026-08-01
19cb83dc-e06b-c7a4-be8d-80f6a44a70ba,2026-08-01,Plano Multiportais 25,ND,Michelle D,PE,Recife,Flat,Nao,31900000.00,1300000.00,1200000.00,33200000.00,30000000.00,1900000.00,0,31200000.00,1,ND,Flat,Plano Multiportais 25,P,PE,Recife,0,2026-08-01
6abf1258-21ed-8c81-42be-ef4a17f05cca,2026-08-01,Plano Multiportais 40 Plus,Online,Tamires P,GO,Goiania,Novo,Nao,19900000.00,650000.00,600000.00,20550000.00,18900000.00,1000000.00,0,0.00,,,,,,,1,2026-09-01
8f0a18e3-67fa-2dbc-b1d5-48be60027e54,2026-09-01,Plano Multiportais 200,Inside,Antonio G,RS,Porto Alegre,Downgrade,Nao,27300000.00,1100000.00,1000000.00,28400000.00,26000000.00,1300000.00,0,26800000.00,1,Inside,Downgrade,Plano Multiportais 200,M,RS,Porto Alegre,0,2026-09-01
a9cc6ebf-2edf-ed22-21b0-439b4d9c50da,2026-09-01,Plano Multiportais 80 Pro,Field,Aline S,CE,Fortaleza,Flat,Nao,18400000.00,580000.00,520000.00,18980000.00,17500000.00,900000.00,0,17600000.00,1,Field,Flat,Plano Multiportais 80 Pro,P,CE,Fortaleza,0,2026-10-01
6abf1258-21ed-8c81-42be-ef4a17f05cca,2026-10-01,Plano Multiportais 40 Plus,Online,Tamires P,GO,Goiania,Flat,Nao,26000000.00,1050000.00,980000.00,27050000.00,24700000.00,1300000.00,0,25500000.00,1,Online,Flat,Plano Multiportais 40 Plus,P,GO,Goiania,0,2026-10-01
a95801ca-edb2-4380-609e-324c5c983604,2026-10-01,Plano Multiportais 100 Pro,Field,Allyne M,BA,Feira de Santana,Novo,Nao,17200000.00,530000.00,490000.00,17730000.00,16000000.00,1200000.00,0,16800000.00,1,Field,Novo,Plano Multiportais 100 Pro,P,BA,Feira de Santana,0,2026-11-01
a9cc6ebf-2edf-ed22-21b0-439b4d9c50da,2026-11-01,Plano Multiportais 80 Pro,Field,Aline S,CE,Fortaleza,Upgrade,Nao,24800000.00,990000.00,920000.00,25790000.00,0.00,24800000.00,1,0.00,,,,,,,1,
87c33ce7-4258-5c6b-f599-1ef1bc74ca05,2026-11-01,Plano Multiportais 300,Inside,Rafael C,SP,Campinas,Flat,Nao,16800000.00,510000.00,480000.00,17310000.00,15600000.00,1200000.00,0,16000000.00,1,Inside,Flat,Plano Multiportais 300,M,SP,Campinas,0,2026-11-01
